case,method,n,target_mean,grand_mean,target_error,root_n_iqr_scale,root_n_sd
t1_tail,uhmc_5,1000,0.2951672353008664,0.313078125,0.01791088969913357,1.5530324584269135,4.072664026607406
t1_tail,uhmc_5,4000,0.2951672353008664,0.3091015625,0.013934327199133567,2.33833943740505,5.881523999533337
t1_tail,uhmc_10,250,0.2951672353008664,0.30334375,0.008176514699133608,1.5120089595250703,1.743501361637408
t1_tail,uhmc_10,1000,0.2951672353008664,0.29634375,0.0011765146991336017,1.4006594625057822,1.5313698129246924
t1_tail,uhmc_10,4000,0.2951672353008664,0.296892578125,0.0017253428241335578,1.7757314524654888,2.156234947311375
t1_tail,uhmc_random,250,0.2951672353008664,0.29700000000000004,0.0018327646991336266,1.254146966427772,2.3392710352539217
t1_tail,uhmc_random,1000,0.2951672353008664,0.30174999999999996,0.0065827646991335476,1.8753599497985376,3.858291001054599
t1_tail,uhmc_random,4000,0.2951672353008664,0.3073359375,0.012168702199133574,2.4877821834046205,6.397587032051786
t1_tail,hmc_5,250,0.2951672353008664,0.2960625,0.0008952646991335911,1.4885669601525893,2.8282821850215436
t1_tail,hmc_5,1000,0.2951672353008664,0.28621093750000004,-0.008956297800866375,1.6585214556030807,3.3798864360173426
t1_tail,hmc_5,4000,0.2951672353008664,0.298265625,0.0030983896991335635,2.458479684189022,6.145219558746202
t1_tail,hmc_10,250,0.2951672353008664,0.29884374999999996,0.0036765146991335484,1.0431689720754365,1.3949775454688167
t1_tail,hmc_10,1000,0.2951672353008664,0.296453125,0.0012858896991335689,1.1134949701928811,1.4633359546398537
t1_tail,hmc_10,4000,0.2951672353008664,0.291708984375,-0.003458250925866435,1.6380097061521603,2.0009208287112883
t1_tail,hmc_random,250,0.2951672353008664,0.29037500000000005,-0.004792235300866365,1.676102955132443,2.2359191947987056
t1_tail,hmc_random,1000,0.2951672353008664,0.29496093749999996,-0.00020629780086645066,2.2621529394444857,3.419617794970821
t1_tail,hmc_random,4000,0.2951672353008664,0.29923046875,0.004063233449133563,2.1918269413270406,3.853022951356649
