case,method,chains,iterations,burn_in,retained,target_mean,mean_of_chain_means,sd_of_chain_means
t1_tail,ula,2000,30000,10000,20000,0.1475836176504332,0.1526486,0.09780266443776243
t1_tail,uhmc_10,2000,30000,10000,20000,0.1475836176504332,0.150309275,0.02449517803768578
t1_tail,uhmc_uniform_19,2000,30000,10000,20000,0.1475836176504332,0.149723875,0.02086331649623295
t1_tail,hmc_5,2000,30000,10000,20000,0.1475836176504332,0.145539025,0.030093537741619512
t1_tail,hmc_10,2000,30000,10000,20000,0.1475836176504332,0.1477809,0.032088642744538036
t1_tail,hmc_20,2000,30000,10000,20000,0.1475836176504332,0.147113125,0.020189342021224962
t1_tail,hmc_uniform_9,2000,30000,10000,20000,0.1475836176504332,0.14703265,0.033330076709846355
t1_tail,hmc_uniform_19,2000,30000,10000,20000,0.1475836176504332,0.14659677499999998,0.021879268658890293
t1_tail,hmc_uniform_39,2000,30000,10000,20000,0.1475836176504332,0.14738569999999998,0.013591390140562388
t1_tail,hmc_two_point_9,2000,30000,10000,20000,0.1475836176504332,0.14646235000000002,0.029005466959424513
t1_tail,hmc_two_point_39,2000,30000,10000,20000,0.1475836176504332,0.147109375,0.014387249644582621
t1_tail,nuts,2000,30000,10000,20000,0.1475836176504332,0.14756395,0.00721133289056394
