case,method,chains,iterations,burn_in,retained,target_mean,mean_of_chain_means,sd_of_chain_means
t3_abs,ula,2000,120000,40000,80000,1.1026577908435842,1.1185555384309234,0.08638206262724966
t3_abs,uhmc_10,2000,120000,40000,80000,1.1026577908435842,1.127764245840373,0.020951968472881746
t3_abs,uhmc_uniform_19,2000,120000,40000,80000,1.1026577908435842,1.123185302003438,0.020703828722532104
