chain_id,ula,uhmc_10,uhmc_uniform_19
0,1.2101336497151227,1.1178254940675922,1.0943949667413717
1,1.161666719612778,1.1418223784588233,1.1296575541992222
2,1.103407046225483,1.1504873891646732,1.130176464401929
3,1.1390363345972372,1.140564042078597,1.1089586307503805
4,1.084219375264532,1.099182571799846,1.2032639557099252
5,1.1005152179650977,1.1196807903283688,1.1339668039247364
6,1.6569016454158951,1.1053794826658352,1.1098935717653313
7,1.094675379434454,1.134958330233166,1.092043975554733
8,1.0619888605581824,1.1100925710040888,1.1410943853971376
9,1.0071716179219536,1.1295478710312177,1.1075502765549903
10,1.0650998703709904,1.0999421852467017,1.1266288695570683
11,1.1067918837865884,1.1284481901331929,1.1266453807248278
12,1.237820676760975,1.1551692496206332,1.10923797146328
13,1.100600211271849,1.1159286801323522,1.1063544855238145
14,1.0723577889726836,1.1089809155313903,1.1165560599114717
15,1.0569754070250186,1.1659552806424327,1.122808698956707
16,1.09599708039905,1.1020957757710335,1.0949879747745908
17,1.1665336490475062,1.0914827181990212,1.0992992795803367
18,1.1398870286528957,1.1087770780232622,1.138454520350554
19,1.0220546469127536,1.133795469199736,1.183104996741573
20,1.2797193509292588,1.1148064756344271,1.111563734721621
21,1.1361855125815703,1.1196808940121656,1.12801695911913
22,1.0702700485216146,1.153327888438207,1.104575910418361
23,1.0990470367055545,1.1161005316812367,1.1098151471165512
24,1.0726696024926166,1.0953289417242738,1.1134684987440766
25,1.0549893770394485,1.1353215535591639,1.1078243963218932
26,1.0849280825871637,1.123356113003695,1.1439656152971704
27,1.1275514954683783,1.1157143462222379,1.1191900474742895
28,1.1782519694140718,1.1319285622396873,1.139184270580367
29,1.041800454482186,1.1238589785740563,1.1193245068883895
30,1.127023356071341,1.1449319664569606,1.1381181056671075
31,1.2827068408539108,1.1319142074908906,1.1438251614450954
32,1.0558681458394248,1.1110968585657146,1.1042788011179006
33,1.0960459541655516,1.158808065086279,1.110462988377123
34,1.1485594239237573,1.1284574836182686,1.1300216211626646
35,1.0370337424557916,1.1297549683940045,1.1380659216571942
36,1.202853829657805,1.1273168422432853,1.127026759253418
37,1.0580257125189458,1.1155520409765651,1.122270251769925
38,1.0962272283840997,1.1404551803116025,1.1102922773284678
39,1.0778578231492348,1.1147081929654907,1.124520511678429
40,1.1815143093109646,1.1258164311446026,1.1408561231475212
41,1.078986449392832,1.1102589905096576,1.1449163562533533
