chain_id,hmc_5,hmc_10,hmc_20,hmc_uniform_9,hmc_uniform_19,hmc_uniform_39,hmc_two_point_9,hmc_two_point_39,nuts
59,0.1617375,0.1458625,0.1584125,0.150275,0.146225,0.1506125,0.1498,0.1382875,0.1508625
60,0.14285,0.15205,0.1459625,0.146725,0.15805,0.14545,0.211225,0.143725,0.1483625
61,0.1210375,0.1437875,0.14485,0.1301875,0.1393125,0.140975,0.13165,0.15535,0.14375000000000002
62,0.1461625,0.138525,0.1511125,0.1447,0.1378875,0.15045,0.1747875,0.15465,0.1502375
63,0.134675,0.1437375,0.148725,0.1486625,0.14445,0.1457,0.1455375,0.15425,0.14827500000000002
64,0.1445625,0.152175,0.14095,0.1352875,0.1436875,0.1432875,0.134725,0.154425,0.14726250000000002
65,0.1354125,0.142525,0.1425375,0.1507125,0.1544,0.1461875,0.1401,0.14055,0.15
66,0.1485125,0.1507875,0.1545625,0.1427875,0.139325,0.1498125,0.1444125,0.1523875,0.1527375
67,0.1392125,0.152825,0.1623625,0.132725,0.1418625,0.14905,0.1465625,0.1421375,0.15105000000000002
68,0.1387875,0.140525,0.146725,0.1629875,0.1624125,0.1463,0.14115,0.1489,0.1477125
69,0.1385625,0.1459,0.1419375,0.1493875,0.147575,0.150375,0.1370625,0.154075,0.1415125
70,0.164775,0.1518875,0.1466125,0.1349875,0.14515,0.143775,0.14795,0.1437875,0.15181250000000002
71,0.1380875,0.1556625,0.1514125,0.1326,0.14855,0.140775,0.1462625,0.1491,0.14855000000000002
72,0.147625,0.1494625,0.1519125,0.1601125,0.13955,0.15685,0.1190125,0.1552125,0.15027500000000002
73,0.1499625,0.1577375,0.1493875,0.1376125,0.1374625,0.1447625,0.1284625,0.1442375,0.1466625
74,0.133025,0.1375125,0.1445,0.1341375,0.1423375,0.14355,0.1532,0.1527,0.1484375
75,0.1379375,0.142225,0.143575,0.1574,0.1413125,0.1439,0.1473875,0.1403625,0.15077500000000002
76,0.1303375,0.1508,0.1419625,0.14135,0.1408375,0.1407625,0.1800125,0.14575,0.1470625
77,0.1360875,0.1456,0.147275,0.153675,0.15215,0.1463125,0.1503875,0.153225,0.15106250000000002
78,0.13625,0.149475,0.1436625,0.133125,0.1415875,0.1459625,0.1461125,0.14925,0.1474
79,0.1461875,0.163025,0.1474875,0.13985,0.139425,0.1439625,0.149725,0.1466125,0.151175
80,0.14395,0.14165,0.1494625,0.1463,0.1434125,0.1452125,0.133375,0.165025,0.149075
81,0.1430875,0.1342375,0.15,0.1343875,0.1533,0.152575,0.1410375,0.146975,0.147325
82,0.125375,0.1496875,0.1433875,0.1446875,0.1414,0.1448,0.1559375,0.1447,0.1484875
83,0.277775,0.1427875,0.1582375,0.1358625,0.1433375,0.1443,0.1364625,0.141275,0.14321250000000002
84,0.1629125,0.1687125,0.1354125,0.136925,0.13895,0.149375,0.1559875,0.146825,0.14930000000000002
85,0.163075,0.1446625,0.16175,0.1562625,0.1485375,0.14205,0.1497,0.1532,0.14598750000000002
86,0.1477125,0.1420125,0.14505,0.1383875,0.135025,0.14155,0.1475625,0.1449125,0.1460625
87,0.1482875,0.1434,0.1383875,0.138075,0.1480125,0.1423625,0.1299625,0.1494,0.1450875
88,0.12695,0.1440875,0.1429125,0.1409125,0.1444375,0.1468875,0.14745,0.1444875,0.14348750000000002
89,0.1443625,0.1675125,0.178075,0.139875,0.152875,0.1483375,0.142375,0.159125,0.146175
90,0.1368,0.1456875,0.1523375,0.1399,0.1447625,0.145175,0.1429,0.14855,0.1474625
91,0.1682125,0.1462,0.14685,0.1360875,0.14315,0.1603,0.1343875,0.1406375,0.1435375
92,0.1333875,0.1451875,0.1413125,0.136425,0.14555,0.1496375,0.14215,0.14765,0.14215
93,0.1491375,0.161825,0.1465,0.1409,0.145925,0.1455625,0.13885,0.1568125,0.1504625
94,0.1592375,0.1423125,0.143975,0.143425,0.1427375,0.1513,0.143875,0.14905,0.14385
95,0.1406375,0.1449875,0.1449625,0.1437125,0.1483125,0.1501125,0.1414875,0.143675,0.15383750000000002
96,0.1469,0.1441875,0.1509625,0.137775,0.1421875,0.1501125,0.1348875,0.1444375,0.144625
97,0.1345375,0.147525,0.1451875,0.153725,0.1610125,0.156275,0.140075,0.1420875,0.14271250000000002
98,0.1309,0.14525,0.14665,0.1412625,0.15445,0.1408,0.1502625,0.1489125,0.1504875
