case,method,chains,iterations,burn_in,retained,target_mean,mean_of_chain_means,sd_of_chain_means
t1_tail,hmc_5,2000,120000,40000,80000,0.1475836176504332,0.14747207499999998,0.021324926125170913
t1_tail,hmc_10,2000,120000,40000,80000,0.1475836176504332,0.14689871875,0.011237849554032701
t1_tail,hmc_20,2000,120000,40000,80000,0.1475836176504332,0.146934925,0.008001058687491635
t1_tail,hmc_uniform_9,2000,120000,40000,80000,0.1475836176504332,0.14679744375,0.021500428693649723
t1_tail,hmc_uniform_19,2000,120000,40000,80000,0.1475836176504332,0.14729736874999996,0.013030488795706242
t1_tail,hmc_uniform_39,2000,120000,40000,80000,0.1475836176504332,0.1476289375,0.0106009112196399
t1_tail,hmc_two_point_9,2000,120000,40000,80000,0.1475836176504332,0.14707281875,0.017306562676875435
t1_tail,hmc_two_point_39,2000,120000,40000,80000,0.1475836176504332,0.147529175,0.007495604342236367
t1_tail,nuts,2000,120000,40000,80000,0.1475836176504332,0.14769098125,0.0035994836227157
