chain_id,iid,ula,uhmc_5,uhmc_10,uhmc_random,hmc_5,hmc_10,hmc_random,nuts
0,1.0936295647554608,1.1397229056928557,1.1396046065638274,1.0970732777207362,1.1373059684715567,1.1011909292355284,1.1319881433112495,1.1269540963645157,1.0879142216542708
1,1.1034931674340516,1.1722142303396936,1.0881266152886513,1.1997372563817774,1.1358413983284932,1.2112239072512438,1.115971937798977,1.0776344971921734,1.0800454273519704
2,1.1021126482981052,1.0975579482746034,1.098979229504882,1.1218581285355065,1.0758466989443873,1.0680067617027669,1.0765300457103384,1.1018766737624148,1.083713284514421
3,1.1061096306739524,0.9088278736451987,1.1302365295434165,1.1067916295414504,1.0939006292133624,1.0655632346299,1.1347906125330947,1.0991020839853924,1.0994517908182884
4,1.0930849137605687,1.1898799573079826,1.139507182317224,1.1495013675960444,1.1430912309486716,1.0719400600523183,1.0970759272857267,1.0914850267069112,1.099075549634569
5,1.0874513025861066,1.0169913350576205,1.0807400701381318,1.0765880769917295,1.1787339179877971,1.0862811683707791,1.1275610363862067,1.1091270628921215,1.1085559798655227
6,1.1175190245333855,1.1907400273273185,1.1623719980088325,1.1302603595648828,1.1134771796574965,1.1378247877055747,1.1194618980313065,1.1109956132858627,1.0855048152973137
7,1.1125157306939477,1.054886475040718,1.099442381474953,1.1262084523414944,1.0979924412259405,1.064071432708106,1.1228107505909972,1.0738198001076047,1.0459764720741487
8,1.100766258161328,1.070274205034612,1.083917444097618,1.0834983920127526,1.127531047190435,1.0830536153474382,1.0339756952539292,1.0919144533058904,1.1484977788779005
9,1.1024998467576907,1.0754312317966295,1.0742138429569428,1.1372318494437674,1.114013310983032,1.0787613710254298,1.0877915684310835,1.0707965954871796,1.126405307723315
10,1.1036951360899572,1.1307523302913423,1.125494979541534,1.126844583125866,1.112363623558354,1.1173614489824983,1.0787256525848303,1.071688153617386,1.1479910838217868
11,1.100745779330407,1.1784443842493943,1.093958637244939,1.0824158240184958,1.107067433493896,1.078161733584231,1.1059427313007943,1.0295334921748958,1.1520556266869186
12,1.1039076923390656,1.08814572265348,1.3479443773296644,1.1161359485745057,1.095169770365309,1.1198166359527852,1.1032518643534894,1.0822238456479272,1.117808166841029
13,1.1197450949371195,1.0688622345509098,1.0614298699041163,1.1162196778594666,1.1558004571637375,1.0510349206158345,1.1555222107131746,1.1126646450118793,1.0863688075555915
